Date,Close?,,,,,,,
12/10/2021,56.28,,,,,,,
12/09/2021,54.86,,,,,,,
12/08/2021,55,,,,,,,
12/07/2021,55.21,,,,,,,
12/06/2021,54.91,,,,,,,
12/03/2021,53.54,,,,,,,
12/02/2021,53.07,,,,,,,
12/01/2021,52.3,,,,,,,
11/30/2021,52.45,,,,,,,
11/29/2021,54.58,,,,,,,
11/26/2021,53.73,,,,,,,
11/24/2021,55.43,,,,,,,
11/23/2021,55.88,,,,,,,
11/22/2021,55.47,,,,,,,
11/19/2021,55.13,,,,,,,
11/18/2021,55.41,,,,,,,
11/17/2021,55.91,,,,,,,
11/16/2021,56.22,,,,,,,
11/15/2021,56.62,,,,,,,
11/12/2021,56.61,,,,,,,
11/11/2021,56.74,,,,,,,
11/10/2021,56.72,,,,,,,
11/09/2021,56.49,,,,,,,
11/08/2021,56.33,,,,,,,
11/05/2021,56.84,,,,,,,
11/04/2021,56.6,,,,,,,
11/03/2021,56.29,,,,,,,
11/02/2021,56.1,,,,,,,
11/01/2021,56.17,,,,,,,
10/29/2021,56.37,,,,,,,
10/28/2021,56.04,,,,,,,
10/27/2021,55.52,,,,,,,
10/26/2021,54.47,,,,,,,
10/25/2021,54.23,,,,,,,
10/22/2021,54.45,,,,,,,
10/21/2021,54.35,,,,,,,
10/20/2021,54.63,,,,,,,
10/19/2021,54.15,,,,,,,
10/18/2021,53.94,,,,,,,
10/15/2021,54.48,,,,,,,
10/14/2021,54.61,,,,,,,
10/13/2021,54.24,,,,,,,
10/12/2021,54.23,,,,,,,
10/11/2021,54.23,,,,,,,
10/08/2021,54.12,,,,,,,
10/07/2021,53.88,,,,,,,
10/06/2021,53.71,,,,,,,
10/05/2021,53.08,,,,,,,
10/04/2021,52.99,,,,,,,
10/01/2021,53.02,,,,,,,
09/30/2021,52.47,,,,,,,
09/29/2021,52.96,,,,,,,
09/28/2021,52.64,,,,,,,
09/27/2021,53.61,,,,,,,
09/24/2021,53.89,,,,,,,
09/23/2021,54.04,,,,,,,
09/22/2021,54.13,,,,,,,
09/21/2021,54.05,,,,,,,
09/20/2021,54.06,,,,,,,
09/17/2021,54.44,,,,,,,
09/16/2021,55.35,,,,,,,
09/15/2021,55.88,,,,,,,
09/14/2021,55.69,,,,,,,
09/13/2021,56.07,,,,,,,
09/10/2021,55.61,,,,,,,
09/09/2021,55.86,,,,,,,
09/08/2021,56.42,,,,,,,
09/07/2021,55.67,,,,,,,
09/03/2021,56.73,,,,,,,
09/02/2021,56.77,,,,,,,
09/01/2021,56.69,,,,,,,
08/31/2021,56.31,,,,,,,
08/30/2021,56.18,,,,,,,
08/27/2021,55.65,,,,,,,
08/26/2021,55.54,,,,,,,
08/25/2021,56.07,,,,,,,
08/24/2021,56.01,,,,,,,
08/23/2021,56.44,,,,,,,
08/20/2021,56.64,,,,,,,
08/19/2021,56.86,,,,,,,
08/18/2021,56.5,,,,,,,
08/17/2021,57.28,,,,,,,
08/16/2021,57.48,,,,,,,
08/13/2021,57.23,,,,,,,
08/12/2021,56.84,,,,,,,
08/11/2021,56.73,,,,,,,
08/10/2021,56.8,,,,,,,
08/09/2021,56.65,,,,,,,
08/06/2021,56.64,,,,,,,
08/05/2021,56.5,,,,,,,
08/04/2021,56.1,,,,,,,
08/03/2021,56.92,,,,,,,
08/02/2021,56.88,,,,,,,
07/30/2021,57.03,,,,,,,
07/29/2021,57.05,,,,,,,
07/28/2021,56.74,,,,,,,
07/27/2021,57.26,,,,,,,
07/26/2021,57.06,,,,,,,
07/23/2021,57.01,,,,,,,
07/22/2021,56.47,,,,,,,
07/21/2021,56.55,,,,,,,
07/20/2021,55.83,,,,,,,
07/19/2021,55.73,,,,,,,
07/16/2021,56.4,,,,,,,
07/15/2021,56.44,,,,,,,
07/14/2021,56.26,,,,,,,
07/13/2021,55.02,,,,,,,
07/12/2021,54.48,,,,,,,
07/09/2021,54.46,,,,,,,
07/08/2021,54.13,,,,,,,
07/07/2021,54.32,,,,,,,
07/06/2021,53.88,,,,,,,
07/02/2021,54.18,,,,,,,
07/01/2021,53.96,,,,,,,
06/30/2021,54.11,,,,,,,
06/29/2021,53.86,,,,,,,
06/28/2021,54.26,,,,,,,
06/25/2021,54.32,,,,,,,
06/24/2021,54.39,,,,,,,
06/23/2021,54.12,,,,,,,
06/22/2021,54.56,,,,,,,
06/21/2021,54.36,,,,,,,
06/18/2021,53.77,,,,,,,
06/17/2021,54.95,,,,,,,
06/16/2021,54.67,,,,,,,
06/15/2021,55.41,,,,,,,
06/14/2021,55.55,,,,,,,
06/11/2021,56.16,,,,,,,
06/10/2021,55.91,,,,,,,
06/09/2021,55.48,,,,,,,
06/08/2021,55.65,,,,,,,
06/07/2021,56.04,,,,,,,
06/04/2021,56.24,,,,,,,
06/03/2021,55.64,,,,,,,
06/02/2021,55.5,,,,,,,
06/01/2021,55.28,,,,,,,
05/28/2021,55.29,,,,,,,
05/27/2021,55.49,,,,,,,
05/26/2021,55.03,,,,,,,
05/25/2021,54.79,,,,,,,
05/24/2021,54.8,,,,,,,
05/21/2021,54.62,,,,,,,
05/20/2021,54.65,,,,,,,
05/19/2021,54.17,,,,,,,
05/18/2021,54.34,,,,,,,
05/17/2021,54.64,,,,,,,
05/14/2021,54.73,,,,,,,
05/13/2021,54.51,,,,,,,
05/12/2021,54.04,,,,,,,
05/11/2021,54.32,,,,,,,
05/10/2021,54.91,,,,,,,
05/07/2021,54.51,,,,,,,
05/06/2021,54.54,,,,,,,
05/05/2021,54,,,,,,,
05/04/2021,54.14,,,,,,,
05/03/2021,54.48,,,,,,,
04/30/2021,53.98,,,,,,,
04/29/2021,54.26,,,,,,,
04/28/2021,53.59,,,,,,,
04/27/2021,53.58,,,,,,,
04/26/2021,53.66,,,,,,,
04/23/2021,54.47,,,,,,,
04/22/2021,54.44,,,,,,,
04/21/2021,54.61,,,,,,,
04/20/2021,54.17,,,,,,,
04/19/2021,54,,,,,,,
04/16/2021,53.68,,,,,,,
04/15/2021,53.33,,,,,,,
04/14/2021,53.08,,,,,,,
04/13/2021,53.09,,,,,,,
04/12/2021,53.35,,,,,,,
04/09/2021,53.18,,,,,,,
04/08/2021,53.12,,,,,,,
04/07/2021,53.28,,,,,,,
04/06/2021,53.19,,,,,,,
04/05/2021,52.81,,,,,,,
04/01/2021,52.51,,,,,,,
03/31/2021,52.71,,,,,,,
03/30/2021,53.15,,,,,,,
03/29/2021,53.85,,,,,,,
03/26/2021,53.04,,,,,,,
03/25/2021,52.02,,,,,,,
03/24/2021,51.52,,,,,,,
03/23/2021,51.39,,,,,,,
03/22/2021,51,,,,,,,
03/19/2021,50.81,,,,,,,
03/18/2021,50.57,,,,,,,
03/17/2021,51.24,,,,,,,
03/16/2021,51.22,,,,,,,
03/15/2021,51.03,,,,,,,
03/12/2021,50.36,,,,,,,
03/11/2021,50.88,,,,,,,
03/10/2021,51.44,,,,,,,
03/09/2021,50.86,,,,,,,
03/08/2021,51.64,,,,,,,
03/05/2021,50.79,,,,,,,
03/04/2021,49.94,,,,,,,
03/03/2021,49.98,,,,,,,
03/02/2021,50.1,,,,,,,
03/01/2021,49.9,,,,,,,
02/26/2021,48.99,,,,,,,
02/25/2021,50.17,,,,,,,
02/24/2021,50.71,,,,,,,
02/23/2021,50.54,,,,,,,
02/22/2021,50.63,,,,,,,
02/19/2021,50.11,,,,,,,
02/18/2021,50.77,,,,,,,
